id,date,label,value
1,2010-07-17,BTC / USD,0.0495
2,2010-07-18,BTC / USD,0.0858
3,2010-07-19,BTC / USD,0.0808
4,2010-07-20,BTC / USD,0.0747
5,2010-07-21,BTC / USD,0.0792
6,2010-07-22,BTC / USD,0.0559
7,2010-07-23,BTC / USD,0.0623
8,2010-07-24,BTC / USD,0.0545
9,2010-07-25,BTC / USD,0.0505
10,2010-07-26,BTC / USD,0.0560
11,2010-07-27,BTC / USD,0.0598
12,2010-07-28,BTC / USD,0.0589
13,2010-07-29,BTC / USD,0.0692
14,2010-07-30,BTC / USD,0.0643
15,2010-07-31,BTC / USD,0.0678
16,2010-08-01,BTC / USD,0.0611
17,2010-08-02,BTC / USD,0.0600
18,2010-08-03,BTC / USD,0.0600
19,2010-08-04,BTC / USD,0.0580
20,2010-08-05,BTC / USD,0.0610
21,2010-08-06,BTC / USD,0.0621
22,2010-08-07,BTC / USD,0.0590
23,2010-08-08,BTC / USD,0.0609
24,2010-08-09,BTC / USD,0.0710
25,2010-08-10,BTC / USD,0.0700
26,2010-08-11,BTC / USD,0.0670
27,2010-08-12,BTC / USD,0.0700
28,2010-08-13,BTC / USD,0.0645
29,2010-08-14,BTC / USD,0.0670
30,2010-08-15,BTC / USD,0.0653
31,2010-08-16,BTC / USD,0.0655
32,2010-08-17,BTC / USD,0.0700
33,2010-08-18,BTC / USD,0.0680
34,2010-08-19,BTC / USD,0.0667
35,2010-08-20,BTC / USD,0.0655
36,2010-08-21,BTC / USD,0.0664
37,2010-08-22,BTC / USD,0.0660
38,2010-08-23,BTC / USD,0.0649
39,2010-08-24,BTC / USD,0.0650
40,2010-08-25,BTC / USD,0.0648
41,2010-08-26,BTC / USD,0.0640
42,2010-08-27,BTC / USD,0.0650
43,2010-08-28,BTC / USD,0.0646
44,2010-08-29,BTC / USD,0.0640
45,2010-08-30,BTC / USD,0.0650
46,2010-08-31,BTC / USD,0.0600
47,2010-09-01,BTC / USD,0.0623
48,2010-09-02,BTC / USD,0.0631
49,2010-09-03,BTC / USD,0.0608
50,2010-09-04,BTC / USD,0.0624
51,2010-09-05,BTC / USD,0.0616
52,2010-09-06,BTC / USD,0.0616
53,2010-09-07,BTC / USD,0.0615
54,2010-09-08,BTC / USD,0.0615
55,2010-09-09,BTC / USD,0.0611
56,2010-09-10,BTC / USD,0.0618
57,2010-09-11,BTC / USD,0.0637
58,2010-09-12,BTC / USD,0.0615
59,2010-09-13,BTC / USD,0.0622
60,2010-09-14,BTC / USD,0.0620
61,2010-09-15,BTC / USD,0.0604
62,2010-09-16,BTC / USD,0.0618
63,2010-09-17,BTC / USD,0.0594
64,2010-09-18,BTC / USD,0.0610
65,2010-09-19,BTC / USD,0.0627
66,2010-09-20,BTC / USD,0.0621
67,2010-09-21,BTC / USD,0.0626
68,2010-09-22,BTC / USD,0.0620
69,2010-09-23,BTC / USD,0.0623
70,2010-09-24,BTC / USD,0.0622
71,2010-09-25,BTC / USD,0.0620
72,2010-09-26,BTC / USD,0.0622
73,2010-09-27,BTC / USD,0.0622
74,2010-09-28,BTC / USD,0.0619
75,2010-09-29,BTC / USD,0.0618
76,2010-09-30,BTC / USD,0.0619
77,2010-10-01,BTC / USD,0.0620
78,2010-10-02,BTC / USD,0.0614
79,2010-10-03,BTC / USD,0.0611
80,2010-10-04,BTC / USD,0.0613
81,2010-10-05,BTC / USD,0.0614
82,2010-10-06,BTC / USD,0.0630
83,2010-10-07,BTC / USD,0.0670
84,2010-10-08,BTC / USD,0.0849
85,2010-10-09,BTC / USD,0.0938
86,2010-10-10,BTC / USD,0.0965
87,2010-10-11,BTC / USD,0.0950
88,2010-10-12,BTC / USD,0.0949
89,2010-10-13,BTC / USD,0.1050
90,2010-10-14,BTC / USD,0.1020
91,2010-10-15,BTC / USD,0.1050
92,2010-10-16,BTC / USD,0.1010
93,2010-10-17,BTC / USD,0.1020
94,2010-10-18,BTC / USD,0.1024
95,2010-10-19,BTC / USD,0.0972
96,2010-10-20,BTC / USD,0.0990
97,2010-10-21,BTC / USD,0.1070
98,2010-10-22,BTC / USD,0.1060
99,2010-10-23,BTC / USD,0.1050
100,2010-10-24,BTC / USD,0.1150
101,2010-10-25,BTC / USD,0.1320
102,2010-10-26,BTC / USD,0.1503
103,2010-10-27,BTC / USD,0.1877
104,2010-10-28,BTC / USD,0.1731
105,2010-10-29,BTC / USD,0.1900
106,2010-10-30,BTC / USD,0.1989
107,2010-10-31,BTC / USD,0.1925
108,2010-11-01,BTC / USD,0.1955
109,2010-11-02,BTC / USD,0.1938
110,2010-11-03,BTC / USD,0.1931
111,2010-11-04,BTC / USD,0.2300
112,2010-11-05,BTC / USD,0.2639
113,2010-11-06,BTC / USD,0.3800
114,2010-11-07,BTC / USD,0.3400
115,2010-11-08,BTC / USD,0.2430
116,2010-11-09,BTC / USD,0.2100
117,2010-11-10,BTC / USD,0.2362
118,2010-11-11,BTC / USD,0.2231
119,2010-11-12,BTC / USD,0.2682
120,2010-11-13,BTC / USD,0.2760
121,2010-11-14,BTC / USD,0.2790
122,2010-11-15,BTC / USD,0.2682
123,2010-11-16,BTC / USD,0.2250
124,2010-11-17,BTC / USD,0.2474
125,2010-11-18,BTC / USD,0.2678
126,2010-11-19,BTC / USD,0.2752
127,2010-11-20,BTC / USD,0.2840
128,2010-11-21,BTC / USD,0.2768
129,2010-11-22,BTC / USD,0.2843
130,2010-11-23,BTC / USD,0.2830
131,2010-11-24,BTC / USD,0.2830
132,2010-11-25,BTC / USD,0.2800
133,2010-11-26,BTC / USD,0.2844
134,2010-11-27,BTC / USD,0.2830
135,2010-11-28,BTC / USD,0.2711
136,2010-11-29,BTC / USD,0.2330
137,2010-11-30,BTC / USD,0.2082
138,2010-12-01,BTC / USD,0.2275
139,2010-12-02,BTC / USD,0.2550
140,2010-12-03,BTC / USD,0.2510
141,2010-12-04,BTC / USD,0.2060
142,2010-12-05,BTC / USD,0.1950
143,2010-12-06,BTC / USD,0.2040
144,2010-12-07,BTC / USD,0.2366
145,2010-12-08,BTC / USD,0.2388
146,2010-12-09,BTC / USD,0.1921
147,2010-12-10,BTC / USD,0.2038
148,2010-12-11,BTC / USD,0.2280
149,2010-12-12,BTC / USD,0.2200
150,2010-12-13,BTC / USD,0.2299
151,2010-12-14,BTC / USD,0.2467
152,2010-12-15,BTC / USD,0.2400
153,2010-12-16,BTC / USD,0.2500
154,2010-12-17,BTC / USD,0.2400
155,2010-12-18,BTC / USD,0.2410
156,2010-12-19,BTC / USD,0.2401
157,2010-12-20,BTC / USD,0.2670
158,2010-12-21,BTC / USD,0.2400
