id,record_date,interest,balance
1,2005-02-01,150182548678.45,8108507591000
2,2005-03-01,154607297122,8207557857800
3,2005-04-01,155140190230.8,8106964570000
4,2005-05-01,156239157425.45,8100121792000
5,2005-06-01,158291759925.561,8062074774258.3
6,2005-07-01,160413740808.35,8125700019000
7,2005-08-01,163591323020.25,8212789808000
8,2005-09-01,164792606081.7,8169651786000
9,2005-10-01,168097034067.8,8262485328700
10,2005-11-01,171184193547.3,8370414303600
11,2005-12-01,172805005241.55,8333815363700
12,2006-01-01,176708305255.097,8389559021457.22
13,2006-02-01,182041788724.008,8555023970426.78
14,2006-03-01,187682021010.504,8680695444846.84
15,2006-04-01,185186899762.461,8531973968663.58
16,2006-05-01,187916838085.443,8538376772900.1
17,2006-06-01,189508149686.177,8507933491958.98
18,2006-07-01,191589805292.846,8560720483360
19,2006-08-01,197010924757.026,8689244820926.72
20,2006-09-01,194975380156.286,8574323574200.3
21,2006-10-01,198446172392.715,8675841870517.76
22,2006-11-01,202190033945.084,8761891546755.04
23,2006-12-01,199204775876.454,8651846878152.24
24,2007-01-01,200887036659.458,8694768918553.34
25,2007-02-01,204621554934.722,8817015274081.92
26,2007-03-01,206280271417.589,8905467238367.5
27,2007-04-01,204672831618.364,8824666492610.32
28,2007-05-01,203291522365.165,8756443198133.26
29,2007-06-01,200285365998.687,8651436872345.16
30,2007-07-01,204357688260.499,8806743124905.08
31,2007-08-01,208583298575.732,8992300112129.7
32,2007-09-01,204484645763.48,8869579313522.44
33,2007-10-01,204978883872.301,8929363721475.04
34,2007-11-01,206605562918.362,9086419246531.68
35,2007-12-01,203820772471.013,9073074158179.4
36,2008-01-01,198770808033.791,9065676839163.4
37,2008-02-01,198739042359.778,9322680087414.44
38,2008-03-01,196388998140.427,9464628538229.54
39,2008-04-01,188800289249.494,9285031173155.44
40,2008-05-01,183666400200.04,9344341607481.28
41,2008-06-01,181241575556.665,9392759657402.16
42,2008-07-01,180370868147.74,9644156275122.96
43,2008-08-01,178467423689.354,9777180280570.5
44,2008-09-01,186326196477.003,10471859446072.7
45,2008-10-01,196889503407.07,11458629076397.4
46,2008-11-01,195924564529.523,11620901545950.6
47,2008-12-01,191066699925.645,11595197678787.8
48,2009-01-01,185289959874.603,11476766372577.9
