id,date,label,value
1,2000-01-03,,1455.2200
2,2000-01-04,,1399.4200
3,2000-01-05,,1402.1100
4,2000-01-06,,1403.4500
5,2000-01-07,,1441.4700
6,2000-01-10,,1457.6000
7,2000-01-11,,1438.5600
8,2000-01-12,,1432.2500
9,2000-01-13,,1449.6800
10,2000-01-14,,1465.1500
11,2000-01-18,,1455.1400
12,2000-01-19,,1455.9000
13,2000-01-20,,1445.5700
14,2000-01-21,,1441.3600
15,2000-01-24,,1401.5300
16,2000-01-25,,1410.0300
17,2000-01-26,,1404.0900
18,2000-01-27,,1398.5600
19,2000-01-28,,1360.1600
20,2000-01-31,,1394.4600
21,2000-02-01,,1409.2800
22,2000-02-02,,1409.1200
23,2000-02-03,,1424.9700
24,2000-02-04,,1424.3700
25,2000-02-07,,1424.2400
26,2000-02-08,,1441.7200
27,2000-02-09,,1411.7000
28,2000-02-10,,1416.8300
29,2000-02-11,,1387.1200
30,2000-02-14,,1389.9400
31,2000-02-15,,1402.0500
32,2000-02-16,,1387.6700
33,2000-02-17,,1388.2600
34,2000-02-18,,1346.0900
35,2000-02-22,,1352.1700
36,2000-02-23,,1360.6900
37,2000-02-24,,1353.4300
38,2000-02-25,,1333.3600
39,2000-02-28,,1348.0500
40,2000-02-29,,1366.4200
41,2000-03-01,,1379.1900
42,2000-03-02,,1381.7600
43,2000-03-03,,1409.1700
44,2000-03-06,,1391.2800
45,2000-03-07,,1355.6200
46,2000-03-08,,1366.7000
47,2000-03-09,,1401.6900
48,2000-03-10,,1395.0700
49,2000-03-13,,1383.6200
50,2000-03-14,,1359.1500
51,2000-03-15,,1392.1500
52,2000-03-16,,1458.4700
53,2000-03-17,,1464.4700
54,2000-03-20,,1456.6300
55,2000-03-21,,1493.8700
56,2000-03-22,,1500.6400
57,2000-03-23,,1527.3500
58,2000-03-24,,1527.4600
59,2000-03-27,,1523.8600
60,2000-03-28,,1507.7300
61,2000-03-29,,1508.5200
62,2000-03-30,,1487.9200
63,2000-03-31,,1498.5800
64,2000-04-03,,1505.9700
65,2000-04-04,,1494.7300
66,2000-04-05,,1487.3700
67,2000-04-06,,1501.3400
68,2000-04-07,,1516.3500
69,2000-04-10,,1504.4600
70,2000-04-11,,1500.5900
71,2000-04-12,,1467.1700
72,2000-04-13,,1440.5100
73,2000-04-14,,1356.5600
74,2000-04-17,,1401.4400
75,2000-04-18,,1441.6100
76,2000-04-19,,1427.4700
77,2000-04-20,,1434.5400
78,2000-04-24,,1429.8600
79,2000-04-25,,1477.4400
80,2000-04-26,,1460.9900
81,2000-04-27,,1464.9200
82,2000-04-28,,1452.4300
83,2000-05-01,,1468.2500
84,2000-05-02,,1446.2900
85,2000-05-03,,1415.1000
86,2000-05-04,,1409.5700
87,2000-05-05,,1432.6300
88,2000-05-08,,1424.1700
89,2000-05-09,,1412.1400
90,2000-05-10,,1383.0500
91,2000-05-11,,1407.8100
92,2000-05-12,,1420.9600
93,2000-05-15,,1452.3600
